ANO;PRODUTO;UNIDADE;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
2000;PETRÓLEO;US$ FOB;217681804;322272219;397505540;323484334;341558361;450747845;375438416;519766652;406683061;354696297;295353034;300427821;4305615384
2001;PETRÓLEO;US$ FOB;353225516;285981303;337866181;222246150;284745212;463816936;340138400;423977588;290462798;448425287;256319394;262431101;3969635866
2002;PETRÓLEO;US$ FOB;162625385;210621960;219831794;326273424;404465186;205576218;277326035;219213839;344407372;355854191;354366611;337439925;3418001940
2003;PETRÓLEO;US$ FOB;317694036;360626059;328897815;400320942;167194269;247080158;261244558;326008332;392975513;444151123;372356545;201563567;3820112917
2004;PETRÓLEO;US$ FOB;444599401;302317061;448591851;623242349;696658122;634790720;615900908;616693956;509211552;640174859;561849014;649525220;6743555013
2005;PETRÓLEO;US$ FOB;545066012;645668644;547541989;405181619;841942889;429885244;628159814;870458829;537163205;643372052;727727774;826272696;7648440767
2006;PETRÓLEO;US$ FOB;461806420;611746491;901686256;723442757;889655485;783113799;689305175;1271029059;644900149;771930122;1004485651;334904856;9088006220
2007;PETRÓLEO;US$ FOB;914161052;644148803;953878496;741118050;858937900;738921510;1279594934;848269267;1052030332;1438669089;1307050922;1197234885;11974015240
2008;PETRÓLEO;US$ FOB;966387546;1065393959;1137076230;1145705946;1786731744;2156138127;2056163188;2003484147;1349440124;1457961178;653372237;794700155;16572554581
2009;PETRÓLEO;US$ FOB;504513911;560935492;538287194;562068211;731851131;833892016;946402496;650099374;1173716964;888941834;823071332;991708411;9205488366
2010;PETRÓLEO;US$ FOB;630485721;901503799;874665254;1007200490;848538859;939907378;1117568866;561547215;888895380;675585348;874878727;775761516;10096538553
2011;PETRÓLEO;US$ FOB;640508832;1150523952;1335650071;1634152678;1460130768;1321038591;801771994;1058322410;1089476664;1392620668;1335371101;932238300;14151806029
2012;PETRÓLEO;US$ FOB;1118909736;730127399;1122551552;1643874628;1225097942;1664015742;1235122745;462050429;998017992;418055242;1567014194;1263639770;13448477371
2013;PETRÓLEO;US$ FOB;1220020142;1122987868;1267772303;1406353586;1439387300;971222564;3144117294;708375962;883859473;1925983963;988490968;1384731474;16463302897
2014;PETRÓLEO;US$ FOB;1098324319;1616699049;809150401;1261020979;1096436445;1366113327;1892551873;1152543880;2031123080;972343916;1291663525;1285964678;15873935472
2015;PETRÓLEO;US$ FOB;189920026;893358086;544153025;357677096;399557874;745218754;545401463;523967695;588415321;1344407130;680414674;568353116;7380844260
2016;PETRÓLEO;US$ FOB;232367531;375823862;277105349;192239757;228591881;353547766;210825086;175033942;220380927;234539871;228239833;170159981;2898855786
2017;PETRÓLEO;US$ FOB;118307174;309412221;86620514;217237751;284433855;312469853;358275935;195107993;171212195;328329584;314147839;271399262;2966954176
2018;PETRÓLEO;US$ FOB;343679066;386091562;455994145;151366313;335148290;418800720;320632360;727748775;392074439;830192299;198898243;481875015;5042501227
2019;PETROLEO;US$ FOB;379404133;247022286;476876145;234675439;494730549;528019891;632130643;228354217;366526669;197377025;384278635;482245846;4651641478
2020;PETROLEO;US$ FOB;207990370;333210946;301306165;340394731;77926222;485468302;259549171;86395749;87489455;98413669;190356078;145230711;2613731569
2021;PETROLEO;US$ FOB;96760569;217992635;247178152;424160511;494418836;;;;;;;;1480510703
