ANO;PRODUTO;MOVIMENTO COMERCIAL;UNIDADE;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
2000;PETRÓLEO ;EXPORTAÇÃO;m3;0;0,068537786;0;0;0;66231,37008;352685,9778;0;28,08925642;0;245182,6802;419950,4202;1084078,606
2001;PETRÓLEO ;EXPORTAÇÃO;m3;482738,5317;738842,4541;62826,26458;748724,3163;741129,7937;706233,0049;616281,9161;391767,5872;209173,6961;393100,3674;279997,0439;1057664,932;6428479,908
2002;PETRÓLEO ;EXPORTAÇÃO;m3;552396,8787;547210,5245;1203002,721;1013538,099;1099351,913;395299,2798;2541184,281;1274312,249;1157500,411;1603306,24;824641,0317;1423077,514;13634821,14
2003;PETRÓLEO ;EXPORTAÇÃO;m3;852918,4115;1740856,466;1335292,445;714792,9165;933414,7935;971146,2535;1059870,356;763285,7451;1383157,46;1409557,719;1127795,972;1737941,278;14030029,82
2004;PETRÓLEO ;EXPORTAÇÃO;m3;1457948,641;1230354,491;1572330,514;426625,2612;1321002,169;1517559,775;1221364,846;1658509,767;308239,5528;907741,625;810457,8119;962787,6749;13394922,13
2005;PETRÓLEO ;EXPORTAÇÃO;m3;1253124,902;923937,9848;571269,8599;1149399,499;1279571,452;93868,35082;3532178,908;2193930,705;1717040,302;593248,4781;1563976,875;1057431,697;15928979,01
2006;PETRÓLEO ;EXPORTAÇÃO;m3;2645724,429;757099,8553;1166874,587;1315794,929;1114750,725;1236422,443;2374648,971;1906646,851;2652932,182;1704740,659;1887782,945;2594288,303;21357706,88
2007;PETRÓLEO ;EXPORTAÇÃO;m3;2375267,124;1841972,34;1880798,67;2260141,543;1753458,071;1474994,756;1965175,441;2280964,383;1895253,899;2370797,831;1633206,874;2722158,359;24454189,29
2008;PETRÓLEO ;EXPORTAÇÃO;m3;1221416,922;1251104,869;678752,0304;307365,3516;3354216,258;2584016,868;1977527,791;2688963,981;1788926,615;2371801,061;2858233,926;4055184,801;25137510,47
2009;PETRÓLEO ;EXPORTAÇÃO;m3;1966594,408;2596698,818;1774363,523;2404857,512;2606485,979;2034174,694;3781408,304;3819313,539;1781780,774;3003245,876;2602636,575;2131495,253;30503055,26
2010;PETRÓLEO ;EXPORTAÇÃO;m3;2369114;2817657;3514758,053;2865707,219;3688684,755;2787806,723;1673388,459;3346050,786;2938267,171;1622016,694;2928768,672;6093020;36645239,53
2011;PETRÓLEO ;EXPORTAÇÃO;m3;2293445,203;3146518;2094252;2469083,75;3951702,92;2779990,397;3156814;3689321,763;2399722,973;2750126;2400644;3948660,25;35080281,26
2012;PETRÓLEO ;EXPORTAÇÃO;m3;2438161,834;2632470,687;3205606,444;3156675,021;2569591,008;1667295,976;2334936,835;4001876,332;2460466,516;1283882,973;2456275,182;3674111,834;31881350,64
2013;PETRÓLEO ;EXPORTAÇÃO;m3;818687,4823;1717736,893;2043853,183;1133544,736;1943946,581;1293103,038;1292904,449;1879212,81;2570836,643;1647705,056;2684151,88;3069962,243;22095644,99
2014;PETRÓLEO ;EXPORTAÇÃO;m3;1897045,292;1467415,183;1687991,313;1811362,118;2501574,21;2424855,312;4356290,733;2581866,222;2399525,337;2496706,647;2928139,611;3559645,512;30112417,49
2015;PETRÓLEO ;EXPORTAÇÃO;m3;3732468,319;2765310,457;2989342,215;3866146,984;3732575,904;4414593,771;3129111,482;4032912,784;3232281,27;3955529,446;2759678,949;4143389,235;42753340,81
2016;PETRÓLEO ;EXPORTAÇÃO;m3;4366319,81;3566611,7;3365326,294;3926964,754;2614051,105;4129295,378;3634996,207;4453150,127;4583385,238;4435660,357;4322695,587;2923629,484;46322086,04
2017;PETRÓLEO ;EXPORTAÇÃO;m3;6194334,859;6928600,475;4454891,618;3521437,713;3928539,789;6893917,306;5989820,497;5093140,381;4414123,593;4228830,353;2812291,326;3371316,697;57831244,61
2018;PETRÓLEO ;EXPORTAÇÃO;m3;6117841,852;4046335,288;4612640,497;5088890,706;4210360,308;3181470,752;9012651,246;4704572,435;6333800,637;7530963,965;5087989,475;5258798,523;65186315,68
2019;PETRÓLEO ;EXPORTAÇÃO;m3;5543138,437;4535468,119;5441944,563;7653496,376;5376136,232;4027529,327;4229438,764;5310990,361;6157725,748;5861484,062;4191961,349;9705514,214;68034827,55
2020;PETRÓLEO ;EXPORTAÇÃO;m3;4797621,367;6683196,876;7252177,643;7516539,165;9382939,801;6191054,238;8857395,067;5975566,001;5710505,002;5193908,548;5993049,75;6002803,694;79556757,15
2021;PETRÓLEO ;EXPORTAÇÃO;m3;5527369,74;5618996,133;7301429,29;7357166,705;6018570,698;;;;;;;;31823532,56
