ANO;PRODUTO;MOVIMENTO COMERCIAL;UNIDADE;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
2000;PETRÓLEO ;IMPORTAÇÃO;m3;1290550,568;1837306,432;2119427,893;1717433,541;2159317,299;2483588,63;1939384,258;2753271,691;2140166,66;1699983,718;1474147,784;1486358,89;23100937,37
2001;PETRÓLEO ;IMPORTAÇÃO;m3;2081777,052;1618981,199;1827976,918;1419867,271;1644812,38;2671940,565;1884416,415;2583800,741;1830965,243;2656514,357;1893801,902;2080112,922;24194966,96
2002;PETRÓLEO ;IMPORTAÇÃO;m3;1565295,797;1803683,437;1748130,4;2143573,429;2427338,768;1267709,797;1751512,486;1298684,651;2062286,515;1995041,361;1916068,948;2076271,419;22055597,01
2003;PETRÓLEO ;IMPORTAÇÃO;m3;1624323,947;1744121,865;1495444,799;2031223,262;955600,0199;1520770,929;1399148,713;1694618,881;2085511,374;2377848,244;1998672,417;1031195,629;19958480,08
2004;PETRÓLEO ;IMPORTAÇÃO;m3;2161977,096;1429719,145;2095855,36;2737462,495;3050293,559;2491229,817;2545173,651;2320349,114;1866060,676;2180677,925;1849598,9;2184204,974;26912602,71
2005;PETRÓLEO ;IMPORTAÇÃO;m3;2074738,192;2354547,038;1766655,79;1253909,496;2484859,851;1282507,706;1792687,543;2227633,61;1283664,961;1535076,291;1850647,632;2067212,06;21974140,17
2006;PETRÓLEO ;IMPORTAÇÃO;m3;1159936,392;1593435,498;2228251,38;1713594,453;1988829,264;1669938,328;1484157,25;2623888,965;1369143,4;1797609,349;2405519,63;873815,6313;20908119,54
2007;PETRÓLEO ;IMPORTAÇÃO;m3;2234933,634;1673133,601;2501853,943;1770476,762;1970137,309;1626775,979;2694782,249;1737637,4;2154152,981;2811274,779;2227857,395;1976647,035;25379663,07
2008;PETRÓLEO ;IMPORTAÇÃO;m3;1568997,831;1780871,422;1812964,245;1637137,905;2467915,353;2692026,841;2317086,852;2367298,467;1734152,293;2117620,316;1201807,653;2024250,201;23722129,38
2009;PETRÓLEO ;IMPORTAÇÃO;m3;1716202,784;1917350,646;1748340,303;1771244,138;2159849,188;2022056,145;2102730,728;1429010,557;2446901,465;1901706,876;1674080,82;1927285,526;22816759,17
2010;PETRÓLEO ;IMPORTAÇÃO;m3;1270622;1769524;1770272,154;1904782,619;1579962,094;1822318,38;2361314,615;1074402,723;1768556,004;1299304,254;1632526,067;1404940,95;19658525,86
2011;PETRÓLEO ;IMPORTAÇÃO;m3;1023328,411;1861389,765;1867903,484;2164833;1828406;1683584;1026035;1416876,202;1441261;1931387;1775224;1260591,85;19280819,71
2012;PETRÓLEO ;IMPORTAÇÃO;m3;1502685;962404,8743;1369698,759;2020591,262;1551755,824;2265191,822;1869553,11;679917,1996;1437658,551;567239,9476;2193487,533;1696042,047;18116225,93
2013;PETRÓLEO ;IMPORTAÇÃO;m3;1698149,675;1520363,184;1696638,945;1828551,873;2380842,646;1393646,111;4502092,937;992555,3183;1207536,087;3060027,055;1373961,276;1850061,837;23504426,94
2014;PETRÓLEO ;IMPORTAÇÃO;m3;1571408,989;2177695,181;1103637,679;1791902,745;1505718,4;1942532,484;2643681,424;1577758,329;2838399,749;1482235,039;2069969,775;2213379,939;22918319,73
2015;PETRÓLEO ;IMPORTAÇÃO;m3;346853,4006;1959466,469;1379517,896;933809,3781;1095512,976;1852745,795;1314885,047;1256352,646;1506401,488;3242332,237;2092114,672;1825972,265;18805964,27
2016;PETRÓLEO ;IMPORTAÇÃO;m3;817938,9625;1434966,971;1126892,493;727263,9672;987187,2867;1232932,201;650665,9141;566044,2364;746323,7706;772188,7311;816825,7947;483383,9842;10362614,31
2017;PETRÓLEO ;IMPORTAÇÃO;m3;397565,3473;979391,9097;217102,4763;599975,1321;848567,2182;927099,0978;1079257,881;644490,2947;533816,4271;917299,9591;863962,649;652333,4105;8660861,803
2018;PETRÓLEO ;IMPORTAÇÃO;m3;928042,7278;905373,6082;1065877,586;347136,3495;758314,6754;826599,1154;635280,4854;1533654,094;787649,4367;1687504,554;360697,893;968834,8946;10804965,42
2019;PETRÓLEO ;IMPORTAÇÃO;m3;816655,6748;619854,6113;1256002,351;525376,4841;1111798,586;1165653,596;1431950,921;546062,448;875899,6646;472774,0721;998333,9609;1163044,303;10983406,67
2020;PETRÓLEO ;IMPORTAÇÃO;m3;508576,8341;810705,6;781466,1165;851060,2871;293178,1247;1649147,353;654205,6424;333562,5576;302422,1329;353987,8953;737467,1894;535096,4306;7810876,164
2021;PETRÓLEO ;IMPORTAÇÃO;m3;225466,6812;700485,7247;641554,8859;1123810,065;1293626,945;;;;;;;;3984944,301
