ANO;PRODUTO;UNIDADE;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
2000;PETRÓLEO;US$ FOB;0;51;0;0;0;8830391;50862353;0;27486;0;38934539;59930153;158584973
2001;PETRÓLEO;US$ FOB;66156287;85843872;8562194;79974562;75495898;87475491;74907022;47229478;24735018;45721755;35941686;88828204;720871467
2002;PETRÓLEO;US$ FOB;43039514;45354146;110677852;116807682;141431989;53591019;318458938;166749234;165038539;238460316;116558589;175203918;1691371736
2003;PETRÓLEO;US$ FOB;122667487;273683107;252928793;104745062;112243387;122826413;153018416;113010231;216359485;205555410;175959350;268933182;2121930323
2004;PETRÓLEO;US$ FOB;229737858;200683383;256672821;76173983;231603147;295307681;231719816;321934004;70818158;199131186;192455031;221454284;2527691352
2005;PETRÓLEO;US$ FOB;213392000;194290086;117354610;290641403;311845917;23922092;850080347;636207175;560060719;189924472;476863854;299867060;4164449735
2006;PETRÓLEO;US$ FOB;721417096;235088202;360583552;402139078;368935921;448002825;869938847;725090370;970097246;536180576;511483460;745331539;6894288712
2007;PETRÓLEO;US$ FOB;708401020;484405508;542596040;695026639;570385642;488465839;702271728;874899327;728282955;1008655552;755651537;1346023676;8905065463
2008;PETRÓLEO;US$ FOB;615869133;607035185;367863659;147273473;1939748035;1799810490;1405623267;1950324900;1107032760;1450355341;1125021707;1166799569;13682757519
2009;PETRÓLEO;US$ FOB;343637965;504198570;305990351;487156593;602785281;557516944;1278703323;1347738894;765003495;1169958994;1064318139;943370723;9370379272
2010;PETRÓLEO;US$ FOB;1014449589;1233606769;1524449171;1313522809;1743693234;1194755082;711758481;1392656997;1299147999;716646334;1333048223;2815505352;16293240040
2011;PETRÓLEO;US$ FOB;1188396928;1677642545;1143710739;1536034093;2693183311;1866824289;2023005424;2396571771;1459662419;1750551624;1522505197;2527356605;21785444945
2012;PETRÓLEO;US$ FOB;1553983918;1682153949;2115644731;2250979426;1779810230;1065155301;1348032731;2334210463;1496664060;794288048;1573939101;2311014633;20305876591
2013;PETRÓLEO;US$ FOB;473625468;1032218102;1290209733;675674329;1096945579;728293100;692158186;1088002165;1553745089;980878038;1574214894;1770642759;12956607442
2014;PETRÓLEO;US$ FOB;1111427967;795771598;975553711;1078398533;1435617332;1417716022;2602565612;1488898574;1327190582;1301079260;1376055404;1446464989;16356739584
2015;PETRÓLEO;US$ FOB;1188709955;676721007;849856388;1088393159;1149737010;1445919594;1001821787;1132640741;788144333;911490679;671700966;876172681;11781308300
2016;PETRÓLEO;US$ FOB;811488525;512908285;510255830;700856490;532942269;966238279;906794823;1068827024;1102109822;1110381320;1161048155;689946446;10073797268
2017;PETRÓLEO;US$ FOB;1764351878;2072786736;1311569791;1000108139;1084204184;1974958222;1559444323;1346375840;1224510539;1234825486;877012428;1174849249;16624996815
2018;PETRÓLEO;US$ FOB;2097812220;1526352825;1697297641;1866533334;1659626149;1225136635;3465354755;1992925456;2620580793;3113372773;2112114191;1719666531;25096773303
2019;PETRÓLEO;US$ FOB;2028953419;1596785188;1995565620;2972157607;2161957499;1580083573;1581879483;1883137326;2093208676;2027454116;1361476162;2719673183;24002331852
2020;PETRÓLEO;US$ FOB;1707992442;2316023766;2023525034;1817132843;1386002196;1156303100;1928276220;1496515261;1471324597;1262950878;1459084689;1588726881;19613857907
2021;PETRÓLEO;US$ FOB;1591315839;1877907033;2655815492;2764880605;2130464925;;;;;;;;11020383894
